OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;longueur;largeur;hauteur;Volume;Volume_Formule;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;hauteur_2;longueur_2;largeur_2;Equipe;Nb_boites;hauteur_3;longueur_3;largeur_3;hauteur_4;longueur_4;largeur_4;hauteur_5;longueur_5;largeur_5;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
36;1;35;;;;;2023/08/01 12:39:15.874;"{""Ch""}";1;M;15;1;1;15;15;2;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
37;1;36;;;;;2023/08/01 12:43:46.470;"{""Pl""}";1;M;20.8;2;2;83.2;#VALEUR!;3;40;50;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;8806;cp;2016;5;3000
38;1;37;;;;;2023/08/01 12:50:35.732;"{""Pl""}";5;M;11;2;1;22;22;2;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;8806;cp;2016;5;3000
39;1;38;;;;;2023/08/01 12:56:05.568;"{""Pl""}";1;M;7.5;2;1;15;#VALEUR!;1;20;30;50;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;8806;cp;2016;5;3000
40;1;39;;;;;2023/08/01 13:01:06.221;"{""Pl""}";1;M;14.2;1;1;14.2;#VALEUR!;1;60;20;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;8806;cp;2016;5;3000
41;1;40;;;;;2023/08/01 13:07:02.612;"{""Pl""}";1;M;12.8;3;2;76.8;#VALEUR!;2;60;20;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;8806;cp;2016;5;3000
42;1;41;;;;;2023/08/01 13:14:14.329;"{""Pl""}";5;M;17.8;2;0.5;17.8;#VALEUR!;2;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;8806;cp;2016;5;3000
43;1;42;;;;;2023/08/01 13:20:55.239;"{""Pl""}";5;M;12;3;1;36;36;2;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;8806;cp;2016;5;3500
44;1;43;;;;;2023/08/01 13:24:23.373;"{""Pl""}";1;M;18;1;1;18;18;1;50;20;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;8806;cp;2016;5;3500
45;1;44;;;;;2023/08/01 13:31:39.993;"{""Pl""}";1;M;8;1;11;88;88;2;80;10;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
