OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;Volume;Volume_Formule;longueur;largeur;hauteur;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;hauteur_2;longueur_2;largeur_2;Equipe;Nb_boites;hauteur_3;longueur_3;largeur_3;hauteur_4;longueur_4;largeur_4;hauteur_5;longueur_5;largeur_5;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
31;1;30;;;;;2022/07/18 12:47:25.000;"{""Ch""}";5;M;45.696;#VALEUR!;9.6;2.8;1.7;1;30;45;25;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
32;1;31;;;;;2022/07/18 12:50:27.000;"{""Pl""}";;D;24.375;#VALEUR!;6.5;2.5;1.5;2;60;30;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
33;1;32;;;;;2022/07/18 12:54:18.000;"{""Ch""}";1;M;8.5;#VALEUR!;8.5;2;0.5;1;90;5;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
34;1;33;;;;;2022/07/18 12:56:38.000;"{""Ch""}";3;P;7.04;#VALEUR!;12.8;1.1;0.5;2;85;;15;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
35;1;34;;;;;2022/07/18 13:02:27.000;"{""Ch""}";1;M;2.304;#VALEUR!;3.2;0.9;0.8;2;30;60;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
36;1;35;;;;;2022/07/18 13:04:02.000;"{""Ch""}";1;P;5.68;#VALEUR!;7.1;1;0.8;2;80;5;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
37;1;36;;;;;2022/07/18 13:06:28.000;{};1;D;3.135;#VALEUR!;5.7;1.1;0.5;2;70;10;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
38;1;37;;;;;2022/07/18 13:09:13.000;"{""Ch""}";1;M;86.94;#VALEUR!;27.6;2.1;1.5;1;60;30;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
39;1;38;;;;;2022/07/18 13:11:37.000;"{""Ch""}";1;M;3.25;#VALEUR!;6.5;1;0.5;1;80;15;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
40;1;39;;;;;2022/07/18 13:15:42.000;"{""Pl""}";3;M;28.7;#VALEUR!;4.1;2.8;2.5;2;40;40;20;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
41;1;40;;;;;2022/07/18 13:19:50.000;"{""Ch""}";1;M;13.65;#VALEUR!;9.1;1.5;1;1;65;30;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
42;1;41;;;;;2022/07/18 13:22:41.000;"{""Ch""}";1;M;54.264;#VALEUR!;10.2;2.8;1.9;2;50;45;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
43;1;42;;;;;2022/07/18 13:25:55.000;"{""Ch""}";1;M;53.424;#VALEUR!;10.6;2.8;1.8;2;60;30;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
44;1;43;;;;;2022/07/18 13:28:06.000;"{""Ch""}";1;M;108.262;#VALEUR!;15.4;3.7;1.9;2;60;35;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
45;1;44;;;;;2022/07/18 13:38:36.000;"{""Ch""}";1;M;42.126;#VALEUR!;11.8;2.1;1.7;1;85;10;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
46;1;45;;;;;2022/07/18 13:41:16.000;"{""Pl""}";;M;112.608;#VALEUR!;10.2;4.8;2.3;2;80;5;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
47;1;46;;;;;2022/07/18 13:43:25.000;"{""Pl""}";;D;91.494;#VALEUR!;10.2;3.9;2.3;2;55;40;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
48;1;47;;;;;2022/07/18 13:48:24.000;"{""Ch""}";1;P;19.47;#VALEUR!;5.9;2.2;1.5;1;40;35;25;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
49;1;48;;;;;2022/07/18 13:50:22.000;"{""Ch""}";1;M;7.5;#VALEUR!;5;1.5;1;1;50;45;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;8806;cp;2016;5;23000
50;1;49;;;;;2022/07/18 14:01:05.000;"{""Ch""}";1;M;23.56;#VALEUR!;6.2;2;1.9;2;40;40;20;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;;;;8806;cp;2016;5;23500
51;1;50;;;;;2022/07/18 14:06:52.000;"{""Ch""}";5;M;76.125;#VALEUR!;20.3;2.5;1.5;1;50;35;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;8806;cp;2016;5;24000
